Referred Services,AIRS Problem Needs
Rent Payment Assistance,Housing
Housing Search Assistance,Housing
Home Rehabilitation Grants,Housing
Low Income/Subsidized Private Rental Housing,Housing
At Risk/Homeless Housing Related Assistance Programs,Housing
Rental Deposit Assistance,Housing
Community Shelters,Housing
Section 8 Housing Choice Vouchers,Housing
Property Tax Payment Assistance,Housing
Weatherization Programs,Housing
Home Rental Listings,Housing
Mortgage Payment Assistance,Housing
Eviction Prevention Legal Assistance,Housing
Home Rehabilitation Loans,Housing
Landlord/Tenant Dispute Resolution,Housing
Domestic Violence Shelters,Housing
Housing Down Payment Loans/Grants,Housing
Housing Authorities,Housing
Tenant Rights Information/Counseling,Housing
Ramp Construction Services,Housing
Moving Expense Assistance,Housing
Assisted Living Facilities,Housing
Homebuyer/Home Purchase Counseling,Housing
Homeless Permanent Supportive Housing,Housing
Low Cost Building Materials/Supplies,Housing
Sweat Equity Programs,Housing
Emergency Related Eviction/Foreclosure Moratoriums,Housing
Mortgage Delinquency and Default Counseling,Housing
Transitional Housing/Shelter,Housing
FHA Loans,Housing
Home Barrier Removal Grants,Housing
Home Rehabilitation Services,Housing
HUD Approved Counseling Agencies,Housing
Adult Residential Care Homes,Housing
Elder Abuse Shelters,Housing
Foreclosure Prevention Loan Modification/Refinancing Programs,Housing
Group Residences for Adults with Disabilities,Housing
Independent Living Communities/Complexes,Housing
Landlord Associations,Housing
Landlord Rights Information/Counseling,Housing
Listing Services for Landlords/Property Managers,Housing
Residential Energy/Water Conservation Systems/Devices,Housing
Senior Housing Information and Referral,Housing
Special Purpose Home Loans,Housing
Tax Foreclosure Assistance,Housing
USDA Rural Home Purchase Loan Programs,Housing
,Housing
Electric Service Payment Assistance,Utility Assistance
Water Service Payment Assistance,Utility Assistance
Gas Service Payment Assistance,Utility Assistance
Heating Fuel Payment Assistance,Utility Assistance
Discounted Internet Service,Utility Assistance
Discounted Telephone Service,Utility Assistance
Electric Service Connection/Repair,Utility Assistance
Utility Disconnection Protection,Utility Assistance
Utility Deposit Assistance,Utility Assistance
Water Service Connection/Repair,Utility Assistance
Internet Service Payment Assistance,Utility Assistance
Natural Gas Service Connection/Repair,Utility Assistance
Sewer Service Payment Assistance,Utility Assistance
FCC Emergency Broadband Benefit,Utility Assistance
,Utility Assistance
Directory Assistance,Information Services
Specialized Information and Referral,Information Services
Comprehensive Information and Referral,Information Services
211 Lead Agencies,Information Services
Outreach Programs,Information Services
Legal Information Services,Information Services
Public Libraries,Information Services
Newsletters,Information Services
Newspaper Publishing/Distribution,Information Services
Subject Specific Public Awareness/Education,Information Services
,Information Services
COVID-19 Diagnostic Tests,Health Care
Vaccine Information,Health Care
Disease/Disability Information,Health Care
Prescription Expense Assistance,Health Care
General Dentistry,Health Care
Home Health Aide Services,Health Care
Medical Care Expense Assistance,Health Care
Physician Referrals,Health Care
Medicaid Applications,Health Care
Pest Control Services,Health Care
Community Clinics,Health Care
COVID-19 Immunization Clinics,Health Care
COVID-19 Antibody Tests,Health Care
Prescription Drug Patient Assistance Programs,Health Care
Medicare Information/Counseling,Health Care
Incontinence Supplies,Health Care
Occasional Medical Equipment/Supplies,Health Care
Wheelchairs/Wheeled Mobility,Health Care
Adult State/Local Health Insurance Programs,Health Care
Immunizations,Health Care
Medicaid Information/Counseling,Health Care
Emergency Dental Care,Health Care
Glasses/Contact Lenses,Health Care
Walking Aids,Health Care
Cloth Face Masks,Health Care
Dental Care Referrals,Health Care
General Acute Care Hospitals,Health Care
General Medical Equipment/Supplies Provision,Health Care
Hearing Aids,Health Care
Medicaid Appeals/Complaints,Health Care
Urgent Care Centers,Health Care
Visiting Physician Services,Health Care
Dentures,Health Care
Emergency Medical Transportation,Health Care
Federal Health Insurance Marketplace Call Center/Website,Health Care
General Medical Care,Health Care
Health Insurance Premium Assistance,Health Care
Health/Disability Related Support Groups,Health Care
Home Sanitation,Health Care
Medicaid Card Replacement,Health Care
Navigator Programs,Health Care
Occupational Health and Safety,Health Care
State/Local Health Insurance Information/Counseling,Health Care
Aging and Disability Resource Centers,Health Care
Breast Pumps,Health Care
Emergency Room Care,Health Care
Eye Care,Health Care
General Health Insurance Information/Counseling,Health Care
Geriatric Home Nursing,Health Care
Incidental Medical Expense Assistance,Health Care
Asbestos Information,Health Care
Assistive Technology Information,Health Care
Autism Therapy,Health Care
Breastfeeding Support Programs,Health Care
Centers for Independent Living,Health Care
Children's State/Local Health Insurance Programs,Health Care
COVID-19 Immunization Home Visits,Health Care
Dementia Evaluation,Health Care
Dementia Management,Health Care
Dental Care Expense Assistance,Health Care
Environmental Hazards Reporting,Health Care
Eye Care Referrals,Health Care
Hazardous Waste Site Information,Health Care
Long Term Home Health Care,Health Care
Medical Equipment Expense Assistance,Health Care
Medical Social Work,Health Care
Medicare Part B Providers,Health Care
Mold Pollution Information,Health Care
Nutrition Education,Health Care
Pharmacies,Health Care
Prescription Drug Discount Cards,Health Care
Private Dental Practices,Health Care
Public Facility Health Inspection,Health Care
Rehabilitation/Restorative Home Nursing,Health Care
State Medicaid Waiver Programs,Health Care
Veteran Outpatient Clinics,Health Care
Vision Screening,Health Care
,Health Care
VITA Program Sites,Income Support/Assistance
VITA Program Coordination,Income Support/Assistance
Child Care Expense Assistance,Income Support/Assistance
Federal Tax Collection Agencies,Income Support/Assistance
Utility Tax Exemption Information,Income Support/Assistance
Online Tax Preparation/E-Filing Sites,Income Support/Assistance
Unemployment Insurance,Income Support/Assistance
State Income Tax Information,Income Support/Assistance
TANF,Income Support/Assistance
Attendant Subsidies,Income Support/Assistance
Property Tax Exemption Information,Income Support/Assistance
Social Security Disability Insurance,Income Support/Assistance
Social Security Retirement Benefits,Income Support/Assistance
Bankruptcy Assistance,Income Support/Assistance
Debt Consolidation Services,Income Support/Assistance
Undesignated Temporary Financial Assistance,Income Support/Assistance
Financial Literacy Training,Income Support/Assistance
General Federal Income Tax Information,Income Support/Assistance
State Disability Insurance,Income Support/Assistance
Credit Counseling,Income Support/Assistance
Personal Financial Counseling,Income Support/Assistance
Tax Forms,Income Support/Assistance
Federal Child Tax Credit Information,Income Support/Assistance
General Property Tax Information,Income Support/Assistance
Representative Payee Services,Income Support/Assistance
SSI,Income Support/Assistance
Veteran Compensation and Pension Benefits,Income Support/Assistance
,Income Support/Assistance
General Furniture Provision,Clothing/Personal/Household Needs
Automotive Repair and Maintenance,Clothing/Personal/Household Needs
General Clothing Provision,Clothing/Personal/Household Needs
Diapers,Clothing/Personal/Household Needs
General Appliance Provision,Clothing/Personal/Household Needs
Household Goods Vouchers,Clothing/Personal/Household Needs
Winter Clothing,Clothing/Personal/Household Needs
Personal/Grooming Supplies,Clothing/Personal/Household Needs
Automobiles,Clothing/Personal/Household Needs
Furnaces,Clothing/Personal/Household Needs
